titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
VIST ATOS RGB Ryzen 5 3600 / RTX 4060 / 16GB / SSD 1TB / W11,PC gaming,VIST ATOS RGB,AMD Ryzen 5 3600,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Matisse,DDR4,6.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,783.9,783.9,783.9,29.4,16.8,32.0,16.0,3200.0,1000.0,4.2,29.0,3.6,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox V-113 PC Gamer Ryzen 5 4500 / RTX 3070,PC gaming,Vibox,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,NVIDIA GeForce RTX 3070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,884.95,884.95,884.95,29.4,16.8,8.0,16.0,3200.0,480.0,4.1,29.0,3.6,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Elite T755
9J5D2AA",Unknown,HP Elite,AMD Ryzen Embedded V2546,memoria flash,AMD,AMD Ryzen Embedded V,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),principiante,Socket 1700,1872.32,1872.32,1872.32,21.0,5.0,8.0,16.0,3200.0,256.0,3.95,21.0,3.0,45.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Lenovo ThinkCentre M80s SFF
11TL0001FR",PC de oficina,Lenovo ThinkCentre,Intel Core i5-12500,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR5,6.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),gaming,Socket 1700,1385.23,1385.23,1385.23,34.0,9.3,18.0,16.0,4400.0,512.0,4.6,29.0,2.8,117.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
VIST ATOS i5 12400F RTX 3050 32GB SSD 1TB WIFI W11,PC gaming,VIST ATOS,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,770.9,770.9,770.9,29.4,16.8,18.0,32.0,3200.0,1000.0,4.4,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox II-107 PC Gamer i5-10400 / RTX 4060 Ti,PC gaming,Vibox,Intel Core i5-10400,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Comet Lake-S,DDR4,6.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1124.95,1124.95,1124.95,29.4,16.8,12.0,16.0,3200.0,1000.0,4.3,29.0,2.9,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP ProDesk 400 G5 Micro
4CZ59ET",PC de oficina,HP ProDesk,Intel Core i3-8100,disco duro HDD,Intel,Core i3,1.0,Microsoft Windows 10 Professional,Raptor Lake,DDR4,4.0,Intel UHD Graphics 630,Ethernet 10/100/1000,Desktop,microtorre,empresas,Socket 1700,629.0,629.0,629.0,27.4,17.0,6.0,4.0,2666.0,1000.0,4.7,33.0,3.6,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Vibox V-30 Gaming PC Ryzen 5 4500 / GTX 1660 Super,PC gaming,Vibox,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,NVIDIA GeForce GTX 1660 Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,894.95,894.95,894.95,29.4,16.8,8.0,16.0,3200.0,480.0,4.1,29.0,3.6,65.0,6144.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Elite SFF 800 G9
5V8J0EA",PC multimedia,HP Elite,Inter Core i7-12700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR5,12.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,"principiante, profesional, empresas",Socket 1700,2466.75,2466.75,2466.75,30.8,33.8,25.0,16.0,4800.0,512.0,4.9,10.0,2.8,180.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox II-16 Gaming PC i5-10400 / GTX 1660 Super,PC gaming,Vibox,Intel Core i5-10400,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Comet Lake-S,DDR4,6.0,NVIDIA GeForce GTX 1660 Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,999.95,999.95,999.95,29.4,16.8,12.0,16.0,3200.0,1000.0,4.3,29.0,2.9,65.0,6144.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Victus 15L
TG02-0408ng",PC gaming,Victus by HP,AMD Ryzen 5 5600G,disco duro SSD,AMD,Ryzen 5,1.0,ninguno,Cezanne,DDR4,6.0,NVIDIA GeForce RTX 3060,Ethernet 10/100/1000,Desktop,minitorre,gaming,Socket AM4,1643.8,1643.8,1643.8,29.7,15.5,16.0,16.0,3200.0,512.0,4.4,33.0,2.8,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox VIII-59 Gaming PC i9-11900F / RTX 3060 Ti,PC gaming,Vibox,Intel Core i9-11900F,disco duro M.2 SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Rocket Lake-S,DDR4,8.0,NVIDIA GeForce RTX 3060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1369.95,1369.95,1369.95,29.4,16.8,16.0,32.0,3200.0,1000.0,5.0,29.0,2.2,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
HP D530,Workstation,HP Evo,Intel Pentium 4,disco duro SSD,Intel,Pentium,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),gaming,Socket 1700,206.96,508.39,357.68,33.5,31.5,18.0,16.0,3200.0,1000.0,4.7,7.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox VII-207 Gaming PC i7-13700F / RTX 3060 Ti,PC gaming,Vibox,Intel Core i7-13700F,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,16.0,NVIDIA GeForce RTX 3060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1374.95,1374.95,1374.95,29.4,16.8,30.0,16.0,3200.0,1000.0,5.2,29.0,2.1,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Elite Tower 600 G9
6A753EA",Workstation,HP Elite,Intel Core i5-12500,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR5,6.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,1593.65,1593.65,1593.65,30.8,15.5,18.0,16.0,3200.0,512.0,4.6,33.0,2.8,117.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
Vibox V-10 Gaming PC Ryzen 5 4500 / GTX 1660 Super,PC gaming,Vibox,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,NVIDIA GeForce GTX 1660 Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,889.95,889.95,889.95,29.4,16.8,8.0,16.0,3200.0,480.0,4.1,29.0,3.6,65.0,6144.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Elite t655 Thin Client
5H0J2EA",Thin Client,HP Elite,AMD Ryzen Embedded R2314,memoria flash,AMD,AMD Ryzen Embedded R,1.0,Microsoft Windows 11 Professional,Picasso,DDR4,4.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,922.26,922.26,922.26,20.0,3.5,2.0,8.0,3200.0,64.0,3.5,20.0,2.1,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Vibox V-51 Gaming PC Ryzen 5 4500 / GTX 1660 Super,PC gaming,Vibox,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,NVIDIA GeForce GTX 1660 Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,784.95,784.95,784.95,29.4,16.8,8.0,16.0,3200.0,1000.0,4.1,29.0,3.6,65.0,6144.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Pavilion TP01
TP01-1036ng",PC multimedia,HP Pavilion,Intel Core i7-10700F,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 10 Home,Raptor Lake,DDR4,8.0,NVIDIA GeForce GT 1030,Ethernet 10/100/1000,Desktop,minitorre,gaming,Socket 1200,609.99,609.99,609.99,30.3,15.54,16.0,16.0,2933.0,512.0,4.8,33.0,2.8,65.0,2048.0,Medium_Power (201-500W),Desktop_PC,0,0,0
Vibox VIII-53 Gaming PC i9-11900F / RTX 3060 Ti,PC gaming,Vibox,Intel Core i9-11900F,disco duro M.2 SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Rocket Lake-S,DDR4,8.0,NVIDIA GeForce RTX 3060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1384.95,1384.95,1384.95,29.4,16.8,16.0,32.0,3200.0,1000.0,5.0,29.0,2.2,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP ProDesk 400 G9
6A7V3EA",PC de oficina,HP ProDesk,Intel Core i3-12100,disco duro SSD,Intel,Core i3,1.0,Microsoft Windows 10 Professional,Alder Lake,DDR4,4.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,786.69,786.69,786.69,30.8,15.5,12.0,8.0,3200.0,256.0,4.3,33.0,2.8,89.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"HP Pro Mini 260 G9
884F5EA",Mini PC,HP Pro,Intel Core i3-1315U,disco duro SSD,Intel,Core i3,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,desktop,"principiante, profesional, empresas",Socket 1700,720.0,720.0,720.0,17.5,17.7,18.0,8.0,3200.0,256.0,4.5,3.0,1.2,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"HP Z2 SFF G9 Workstation
5F0D1EA",Workstation,HP Z2,Inter Core i7-12700,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR5,12.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,3443.17,3443.17,3443.17,21.8,21.1,25.0,16.0,4800.0,512.0,4.9,6.0,2.8,180.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Elite Mini 805 G8
5M9Y0EA",Mini PC,HP Elite,AMD Ryzen 5 Pro 5650GE,disco duro M.2 SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Cezanne,DDR4,6.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,mini ITX,empresas,Socket 1700,880.86,880.86,880.86,17.5,17.7,16.0,8.0,3200.0,256.0,4.4,3.0,3.4,35.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Lenovo ThinkCentre M70q Tiny
11DT003WGE",PC de oficina,Lenovo ThinkCentre,Intel Core i5-10400T,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 10 Professional,Palomino,DDR4,6.0,Intel UHD Graphics 630,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),gaming,Socket 1200,688.0,688.0,688.0,18.3,17.9,12.0,8.0,2666.0,256.0,3.6,3.0,2.8,35.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Beelink Mini S12 Pro (N100 / 16GB / 500GB),Mini PC,Beelink Mini,Intel N100,disco duro M.2 SSD,Intel,Intel N,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,239.0,239.0,239.0,29.4,16.8,6.0,16.0,3200.0,500.0,3.4,29.0,0.8,25.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Acer Predator Orion 5000 PO5-650,PC gaming,Acer Predator,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2072.44,4377.75,3225.1,50.48,21.9,18.0,16.0,3200.0,1000.0,4.7,48.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"ASUS ExpertCenter D7
90PF03B1-M01H90",Workstation,ASUS ExpertCenter,Intel Core i5-12500H,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,12.0,NVIDIA T400,Ethernet 10/100/1000,Desktop,minitorre,empresas,Socket 1700,1279.25,1279.25,1279.25,29.3,9.5,18.0,16.0,3200.0,512.0,4.4,34.0,2.5,65.0,4096.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Captiva Power Starter I74
I74-590",PC de oficina,Captiva Power Starter,Intel Core i9-13900K,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,24.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,1774.97,1774.97,1774.97,29.4,16.8,36.0,64.0,3200.0,1000.0,5.8,29.0,3.0,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Sedatech UCCN511I1I1HF,PC gaming,Sedatech,AMD Ryzen 9 7900X3D,disco duro SSD,AMD,Ryzen 9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,12.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket AM5,2229.9,2229.9,2229.9,29.4,16.8,128.0,32.0,3200.0,2000.0,5.6,29.0,4.4,120.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Dell Vostro 3910
YGTND",PC de oficina,Dell Vostro,Intel Core i3-12100,disco duro SSD,Intel,Core i3,1.0,Microsoft Windows 10 Professional,Alder Lake,DDR4,4.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,torre,"empresas, profesional",Socket 1700,819.4,819.4,819.4,29.2,15.4,12.0,8.0,3200.0,256.0,4.3,32.0,3.3,89.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Minisforum NAB6 Lite
B0D1VCDG63",Mini PC,Minisforum,Intel Core i5-12600,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,425.0,425.0,425.0,29.4,16.8,18.0,32.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
MSI PRO DP130 11,Unknown,MSI Pro,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,"empresas, profesional",Socket 1700,323.99,1202.56,763.27,43.0,34.0,18.0,16.0,3200.0,1000.0,4.7,9.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina PBM 7800X3D / 32GB / 2TB / RTX4090 / 1000W (KOMAAAGIP1534),PC gaming,Actina PBM,AMD Ryzen 7 7800X3D,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raphael,DDR4,8.0,NVIDIA GeForce RTX 4090,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM5,4981.2,4981.2,4981.2,29.4,16.8,96.0,32.0,3200.0,2000.0,5.0,29.0,4.2,120.0,8192.0,Very_High_Power (>850W),Desktop_PC,0,0,0
"Intel NUC Kit
BXNUC10I3FNKN2",Mini PC,Intel NUC,Intel Core i3-10110U,disco duro SSD,Intel,Core i3,0.0,ninguno,Comet Lake,DDR4,2.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket BGA1528,329.0,329.0,329.0,11.1,11.5,4.0,16.0,3200.0,1000.0,4.1,5.0,2.8,15.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP t740 Thin Client
6TV58EA",Thin Client,HP Thin Client,AMD Ryzen Embedded V1756B,memoria flash,AMD,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon RX Vega 8,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,2821.45,2821.45,2821.45,21.0,5.0,18.0,8.0,3200.0,32.0,4.7,21.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
BEASTCOM Q3 | Essential Gaming (Q3-115),PC gaming,BEASTCOM,Unknown,disco duro SSD,AMD,Ryzen 3,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon RX Vega 8,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,469.9,469.9,469.9,29.4,16.8,18.0,16.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Ankermann Desktop PC Barcelona (4260561741842),PC de oficina,Ankermann Desktop PC,Intel Core i5-6400,disco duro SSD,Intel,Core i5,2.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel HD Graphics 530,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,279.0,289.0,284.0,29.4,16.8,18.0,8.0,3200.0,480.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Apple Mac mini M2 (2023)
MNH73T/A",Mini PC,Apple Mac Mini,Apple M2 Pro,disco duro SSD,Apple,Apple M,1.0,macOS Ventura,Raptor Lake,DDR4,10.0,Apple M2 Pro GPU,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),gaming,Socket 1700,1359.04,1359.04,1359.04,19.7,19.7,18.0,16.0,3200.0,512.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST PRO PC Intel i9-14900KF / RTX 4070 / 64GB / SSD 1TB / WiFi6 BT W11 DLSS 3,PC gaming,VIST PRO PC,Intel Core i9-14900KF,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,24.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1884.9,1884.9,1884.9,29.4,16.8,36.0,64.0,3200.0,1000.0,6.0,29.0,3.2,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox II-23 Gaming PC i5-10400 / GTX 1660 Super,PC gaming,Vibox,Intel Core i5-10400,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Comet Lake-S,DDR4,6.0,NVIDIA GeForce GTX 1660 Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,889.95,889.95,889.95,29.4,16.8,12.0,16.0,3200.0,1000.0,4.3,29.0,2.9,65.0,6144.0,High_Power (501-850W),Desktop_PC,0,0,0
"HM24 Gaming-PC HM24
HM247554",PC gaming,Unknown,AMD Ryzen 5 5500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket 1700,981.02,981.02,981.02,35.0,18.0,18.0,16.0,3200.0,512.0,4.7,35.0,2.8,65.0,6144.0,High_Power (501-850W),Desktop_PC,0,0,0
"Acemagician AM06 Pro
5800U 32GB + 512GB",Mini PC,Acemagician,AMD Ryzen 7 5800U,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,489.99,489.99,489.99,29.4,16.8,16.0,32.0,3200.0,512.0,4.4,29.0,1.9,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Concept FutureNUC Pro
i3-1315U 8GB 256GB W11P",Mini PC,Concept FutureNUC,Intel Core i3-1315U,disco duro M.2 SSD,Intel,Core i3,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket FCBGA 1744,499.0,499.0,499.0,11.2,11.7,10.0,8.0,3200.0,256.0,4.5,4.0,1.2,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Zone Evil Gold 12AB550R,PC gaming,Zone Evil Gold,AMD Ryzen 7 5800X,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,8.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,927.68,982.56,955.12,49.2,22.0,32.0,16.0,3200.0,1024.0,4.7,44.0,2.8,105.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Elitegroup ECS Liva Z3 Plus
95-699-MS5059",Mini PC,Elitegroup ECS Liva,Intel Core i7-10510U,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 10 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket 1700,720.99,720.99,720.99,12.8,11.7,18.0,4.0,3200.0,128.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Medion Akoya P63022 MD35344,Unknown,Medion Akoya,Intel Core i5-12400,disco duro SSD,Intel,Core i5,2.0,Microsoft Windows 11 Home,Alder Lake,DDR4,6.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,torre,"empresas, gaming",Socket 1700,679.0,927.45,803.23,38.0,17.0,18.0,16.0,3200.0,256.0,4.4,38.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Phoenix Technologies COMET3-A23,PC de oficina,Phoenix Technologies,Intel Core i3-13100,disco duro SSD,Intel,Core i3,1.0,Microsoft Windows 11 Professional,Palomino,DDR4,4.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,369.99,501.73,435.86,29.4,16.8,12.0,8.0,3200.0,500.0,4.5,29.0,3.4,58.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"GMKtec NucBox G5
N97 / 12GB / 512GB",Mini PC,GMKtec NucBox,Intel N97,disco duro M.2 SSD,Intel,Intel N,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,219.95,219.95,219.95,7.19,7.19,6.0,12.0,3200.0,512.0,3.6,4.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Leotec Gyors Whiskey i5 8GB 256GB,Mini PC,Leotec Gyors Whiskey,Intel Core i5-10210U,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR3,8.0,Intel UHD Graphics 620,Ethernet 10/100/1000,Desktop,barebone,"empresas, profesional",Socket 1700,552.87,633.96,593.41,12.5,12.5,18.0,16.0,2400.0,256.0,4.7,4.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Shuttle XPC nano NC40U3,Unknown,Shuttle XPC,Intel Core i3-1215U,disco duro SSD,Intel,Core i3,0.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket 1700,317.68,333.92,325.8,14.2,14.2,10.0,16.0,3200.0,1000.0,4.4,4.0,1.2,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Minix NEO Z100-0dB
256GB",Mini PC,Minix NEO,Intel N100,disco duro M.2 SSD,Intel,Intel N,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,4.0,Intel UHD Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,266.9,266.9,266.9,29.4,16.8,18.0,8.0,3200.0,256.0,3.4,29.0,0.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Blackview MP80
N97 + 16GB + 1TB",Mini PC,Blackview,Intel N97,disco duro M.2 SSD,Intel,Intel N,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,"profesional, bricolaje",Socket 1700,224.99,224.99,224.99,8.8,8.8,6.0,16.0,3200.0,1000.0,3.6,3.0,2.0,12.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Geekom A5,Mini PC,Geekom,AMD Ryzen 7 5800H,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Cezanne,DDR4,8.0,AMD Radeon RX Vega 8,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket FP6,439.0,439.0,439.0,11.2,11.7,16.0,32.0,3200.0,512.0,4.4,4.0,2.8,45.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"AWow MGI9
11900H / 32GB / 1TB",Mini PC,AWow,Intel Core i9-11900H,disco duro M.2 SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,empresas,Socket 1700,489.99,489.99,489.99,29.4,16.8,24.0,32.0,3200.0,1000.0,4.9,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Fujitsu Esprimo D6011
VFY:D6011P15AMES",Mini PC,Fujitsu Esprimo,Intel Core i5-10400,disco duro SSD,Intel,Core i5,2.0,Microsoft Windows 10 Professional,Comet Lake,DDR4,6.0,Intel UHD Graphics 630,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1200,1325.9,1325.9,1325.9,29.6,31.4,12.0,8.0,3200.0,256.0,4.3,8.0,2.9,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
