titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
Actina ENDORFY 13600KF / 32GB / 1TB / RX7900XTX / 1000W,PC gaming,Actina ENDORFY,Intel Core i5-13600KF,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,14.0,AMD Radeon RX 7900 XTX,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1885.41,3079.31,2482.36,29.4,16.8,24.0,32.0,3200.0,1000.0,5.1,29.0,3.5,125.0,8192.0,Very_High_Power (>850W),Desktop_PC,0,0,0
MSI MAG Infinite S3,PC gaming,MSI MAG,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1138.11,2359.98,1749.05,29.4,16.8,18.0,16.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Pro Mini 260 G9
624A0ET",Mini PC,HP Pro,Intel Core i5-1335U,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel Iris Xe Graphics,Ethernet 10/100/1000,Desktop,desktop,"principiante, profesional, empresas",Socket 1700,295.04,636.53,465.78,17.5,17.7,18.0,8.0,3200.0,256.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Apple Mac mini M4 [2024]
MU9E3D/A",Mini PC,Apple Mac Mini,Apple M4,disco duro SSD,Apple,Apple M,1.0,macOS Sequoia,Raptor Lake,DDR4,10.0,Apple M4 10-Core GPU,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,914.11,994.7,954.4,12.7,12.7,18.0,16.0,3200.0,512.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Ankermann Business Silent Workstation PC (4260561742863),Workstation,Ankermann Business Silent,Intel Core i7-6700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,799.0,819.0,809.0,29.4,16.8,18.0,32.0,3200.0,500.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Apple Mac mini M4 [2024]
MCYT4YP/A",Mini PC,Apple Mac Mini,Apple M4,disco duro SSD,Apple,Apple M,1.0,macOS Sequoia,Raptor Lake,DDR4,10.0,Apple M4 10-Core GPU,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,1099.0,1179.0,1139.0,12.7,12.7,18.0,24.0,3200.0,512.0,4.7,5.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
HP Slim S01,PC multimedia,HP Slim,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,desktop,principiante,Socket 1700,297.83,746.2,522.01,27.0,9.5,18.0,16.0,3200.0,1000.0,4.7,30.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Acemagician AM08 Pro,Mini PC,Acemagician,AMD Ryzen 7 8845HS,disco duro M.2 SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,AMD Radeon 780M,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,399.9,749.0,574.45,29.4,16.8,16.0,32.0,5600.0,1000.0,5.1,29.0,3.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
HP Workstation Z2 G9 Tower,Workstation,HP Z2,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,1059.18,5779.76,3419.47,38.5,16.9,18.0,16.0,3200.0,1000.0,4.7,35.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST Gaming PC Ryzen 7 RTX 4060Ti 32GB 1TB WIFI W11,PC gaming,VIST Gaming PC,AMD Ryzen 7 3700X,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1000.9,1000.9,1000.9,29.4,16.8,18.0,32.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
