titulo,ofertas,tipo_de_producto,serie,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_tecnologia,pantalla_luminosidad_cd_m2,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_autonomia_de_la_bateria,alimentacion_vatios_hora,alimentacion,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,medidas_y_peso_profundidad,medidas_y_peso_altura,medidas_y_peso_ancho,medidas_y_peso_peso,otras_caracteristicas_equipamiento,otras_caracteristicas_seguridad_integrada,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,pantalla_resolucion,pantalla_densidad_de_pixeles,pantalla_tasa_de_actualizacion_de_imagen,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,grafica_memoria,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,procesador_cache,ram_memoria,ram_tipo,ram_frecuencia_de_la_memoria,disco_duro_capacidad_de_memoria_ssd,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,procesador_numero_nucleos,procesador_frecuencia_de_reloj,procesador_frecuencia_turbo_max,procesador_potencia_max_de_diseno_termico_tdp,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,ram_extension_de_memoria_maxima,grafica_tarjeta,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,alimentacion_voltaje_de_salida,alimentacion_intensidad_de_corriente,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,alimentacion_capacidad_de_la_bateria,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_displayglas,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,disco_duro_capacidad_del_disco_duro,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,disco_duro_velocidad_de_rotacion_del_disco_duro,comunicaciones_caracteristicas_del_bluetooth,almacenamiento_velocidades_de_lectura,almacenamiento_velocidades_de_escritura,tipo,precio_min,precio_max,precio_mean,grafica_resolucion_externa_std,camara_resolucion_pulgadas,teclado_numero_de_teclas_horas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pulgadas,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,Categoria_General
Dell Vostro 3520,27.0,Portátil profesional,Dell Vostro,15.6,39.62,,250.0,,,HDMI,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,,41.0,65 W,,,con tapa,"23,5 cm",23 mm,"35,9 cm","1,66 kg","USB-C, altavoces estéreo, webcam",,,2022.0,IEEE 802.11ac,,,,,,,,,,,altavoces estéreo,16:9,,,,,,,,,3.0,,,,,,,,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,452.01,836.9,644.45,,1280x720,,,65.0,23.5,23.0,35.9,1.66,,,,,,,,4.0,,,,,,,,,,Laptop
"Apple MacBook Pro 14"" M4 (2024)
Space Black MW2V3Y/A",5.0,Portátil multimedia,Apple MacBook Pro,14.2,36.068,Retina,1.0,Apple M4,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.3,12.0 Megapixel,compatible con HD,1920 x 1080 píxeles,,79 teclas,,6.0,polímero de litio,13 h,70.0,67 W,no,aluminio,con tapa,"22,1 cm",16 mm,"31,3 cm","1,6 kg","USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2024.0,IEEE 802.11ax,3.024 x 1.964 píxeles,254 ppp,120 Hz,Apple,Apple M,1.0,Apple,memoria compartida,macOS Sequoia,SDXC,altavoces estéreo,,,,,16 GB RAM,,,1.000 GB,teclado iluminado,,negro,,,,,,,,,,Apple M4 Graphics,ninguna,ninguno,,,,,,,,,Apple Intelligence,,,,,,vidrio estándar,,,,,,,,,,,,,,,,Laptop,1995.84,2275.98,2135.91,8192x4608,1920x1080,79.0,13.0,67.0,22.1,16.0,31.3,1.6,3024x1964,254.0,120.0,,16.0,,1000.0,,,,,,,,,,,Laptop
"LG Gram 16 2024
16Z90S-G.AA76B",6.0,Portátil multimedia,LG Gram,16.0,40.64,WQXGA,350.0,Intel Core Ultra 7 155H,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,,77.0,,,,con tapa,"24,2 cm",17 mm,"35,5 cm","1,2 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Home,MicroSD,,16:10,Meteor Lake,L3,24 MB,16 GB RAM,LPDDR5,7.467 MHz,512 GB,teclado iluminado,,negro,,16.0,"3,8 GHz","4,8 GHz",28 W,,64.0,,16 GB,Intel Arc Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,,,Intel AI Boost,,,,,,,,,,,,Laptop,1089.0,1452.58,1270.79,,1920x1080,,,,24.2,17.0,35.5,1.2,2560x1600,,,24.0,16.0,7467.0,512.0,4.0,3.8,4.8,28.0,16.0,,,,,,Laptop
Medion Akoya E15423,11.0,Portátil multimedia,Medion Akoya,15.6,39.624,,,,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,teclado numérico,2.0,polímero de litio,10 h,55.0,,,,con tapa,24 cm,20 mm,"35,9 cm","1,86 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ac,,,,,,,Intel,memoria compartida,,,altavoces estéreo,16:9,,,,,,,,,3.0,,,,,,,,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,309.0,479.0,394.0,,1280x720,,10.0,,24.0,20.0,35.9,1.86,,,,,,,,,,,,,,,,,,Laptop
"MSI Cyborg 15 A12
A12UCX-657XES",1.0,Portátil gaming,,15.6,39.62,Full HD,,Intel Core i7-12650H,SSD,HDMI 2.1,,"LAN, wifi, Bluetooth",Bluetooth 5.2,integrada,,1280 x 720 píxeles,,,,2.0,,,53.5,120 W,,,con tapa,25 cm,23 mm,"35,9 cm","1,98 kg","webcam, altavoces estéreo, USB-C",,,2023.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,144 Hz,Intel,Intel Core i7,1.0,,4.096 MB / 4 GB,sin sistema operativo,,altavoces estéreo,16:9,Alder Lake-P,L3,24 MB,16 GB RAM,DDR5,,512 GB,teclado iluminado,3.0,negro,,10.0,"1,7 GHz","4,7 GHz",45 W,GDDR6,,,,NVIDIA GeForce RTX 2050,,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,2x SO-DIMM,,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,769.0,769.0,769.0,,1280x720,,,120.0,25.0,23.0,35.9,1.98,1920x1080,,144.0,24.0,16.0,,512.0,4.0,1.7,4.7,45.0,,,,,,,Laptop
GigaByte G6X,27.0,Portátil gaming,,16.0,40.64,,,Intel Core i7-13650HX,SSD,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,,73.0,180 W,,,con tapa,"25,9 cm",29 mm,"36,1 cm","2,5 kg","USB-C, altavoces estéreo, webcam",,,2024.0,IEEE 802.11ax,,,,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB,,,,16:10,Raptor Lake,L3,24 MB,,DDR5,4.800 MHz,,,,,,14.0,"1,9 GHz","4,9 GHz",55 W,GDDR6,,,,NVIDIA GeForce RTX 4060,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,885.96,1418.32,1152.14,,1280x720,,,180.0,25.9,29.0,36.1,2.5,,,,24.0,,4800.0,,4.0,1.9,4.9,55.0,,,,,,,Laptop
"Lenovo V15 G4
83A100BJSP",24.0,Portátil multimedia,,15.6,39.624,Full HD,250.0,Intel Core i7-1355U,PCIe SSD,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.1,0.9 Mpx,,,,,teclado numérico,,polímero de litio,"8,4 h",38.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,65 kg","lector de tarjetas, webcam, USB-C",,,2023.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Home,,,16:9,Raptor Lake-U,L3,12 MB,16 GB RAM,DDR4,3.200 MHz,512 GB,,2.0,negro,,10.0,"1,2 GHz",5 GHz,15 W,,64.0,,16 GB,Intel Iris Xe Graphics,ninguna,ninguno,20 V,"3,25 A",teclado numérico,,Gigabit-LAN,,,,,1x SO-DIMM,1x SO-DIMM,1 x 8 + 1 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,601.68,813.95,707.82,,,,8.4,65.0,23.6,20.0,35.9,1.65,1920x1080,,,12.0,16.0,3200.0,512.0,,1.2,5.0,15.0,16.0,20.0,3.25,,,,Laptop
"HP Victus 16 2024
16-s0006ns",12.0,Portátil gaming,HP Victus,16.1,40.894,Full HD,,AMD Ryzen 7 7840HS,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.3,integrada,,,,,,2.0,polímero de litio,,83.0,,,,con tapa,"25,9 cm",23 mm,"36,9 cm","2,33 kg","lector de tarjetas, webcam, altavoces estéreo, USB-C",,,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,144 Hz,AMD,AMD Ryzen 7,1.0,NVIDIA,6.144 MB / 6 GB,Free DOS,,,16:9,Phoenix,L3,32 MB,16 GB RAM,DDR5,5.600 MHz,512 GB,teclado iluminado,6.0,gris,,8.0,"3,8 GHz","5,1 GHz",45 W,GDDR6,,,,NVIDIA GeForce RTX 4050,ninguna,ninguno,,,teclado numérico,,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,846.4,1094.42,970.41,,,,,,25.9,23.0,36.9,2.33,1920x1080,,144.0,32.0,16.0,5600.0,512.0,,3.8,5.1,45.0,,,,,,,Laptop
Samsung Galaxy Book 3 15,4.0,Portátil multimedia,Samsung Galaxy Book,15.6,39.62,,300.0,,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,12 h,54.0,,,,con tapa,"22,9 cm",15 mm,"35,7 cm","2,44 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,,,,Intel,,,,,,MicroSD,,16:9,,L3,,,,,,,,,,,,,,,64.0,,,,,,"15,4 V",,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,964.49,1166.99,1065.74,,1280x720,,12.0,,22.9,15.0,35.7,2.44,,,,,,,,4.0,,,,,15.4,,,,,Laptop
Acer Swift 3 (SF314-511),4.0,Portátil multimedia,Acer Swift,14.0,35.56,,,,,HDMI,,"Bluetooth, wifi",Bluetooth 5.1,integrada,,,teclado FineTip,,,2.0,ión-litio,"11,5 h",,65 W,,,con tapa,"21,9 cm",17 mm,"32,3 cm","1,2 kg","USB-C, altavoces estéreo, webcam",,,2021.0,,,,,,,,,,,,altavoces estéreo,16:9,,,,,,,,,4.0,,,,,,,,,,,,,,,,,panorámica,,,3220 mAh,,,,,,,,,,,,,,,,,,,,,,,,Laptop,579.0,988.88,783.94,,,,11.5,65.0,21.9,17.0,32.3,1.2,,,,,,,,,,,,,,,3220.0,,,Laptop
"LG Gram Pro 16 2024
16ZD90S-G.AX75B",5.0,Portátil multimedia,LG Gram,16.0,40.64,WQXGA,,Intel Core Ultra 7 155H,SSD,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,,,,,,2.0,ión-litio,,90.0,90 W,,,con tapa,"25,2 cm",14 mm,"35,8 cm","1,28 kg","USB-C, altavoces estéreo, webcam",,,2024.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Free DOS,,,16:10,Meteor Lake,L3,24 MB,16 GB RAM,LPDDR5,7.467 MHz,512 GB,teclado iluminado,,negro,,16.0,"3,8 GHz","4,8 GHz",28 W,,,,,Intel Arc Graphics,,,,,teclado numérico,,,,,,,,,,,,,,,,Intel AI Boost,,,,,,,,,,,,Laptop,1079.0,1649.3,1364.15,,,,,90.0,25.2,14.0,35.8,1.28,2560x1600,,,24.0,16.0,7467.0,512.0,,3.8,4.8,28.0,,,,,,,Laptop
Medion S10,8.0,Portátil multimedia,,16.0,40.64,,,,,HDMI,,wifi,,integrada,compatible con HD,1920 x 1080 píxeles,,,,,polímero de litio,8 h,70.0,,,,con tapa,"24,6 cm",18 mm,"35,6 cm","1,78 kg","USB-C, webcam",,,2024.0,IEEE 802.11ax,,,,Intel,,1.0,,memoria compartida,Windows 11 Home,,,16:10,,,,16 GB RAM,DDR5,,,,3.0,plateado,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,853.45,1299.0,1076.22,,1920x1080,,8.0,,24.6,18.0,35.6,1.78,,,,,16.0,,,,,,,,,,,,,Laptop
"MSI Katana 15 B13
B13VFK-1854XES",1.0,Portátil gaming,MSI Katana,15.6,39.62,Full HD,,Intel Core i7-13700H,,HDMI 2.1,,"LAN, wifi, Bluetooth",Bluetooth 5.2,integrada,,1280 x 720 píxeles,,,,2.0,,,53.5,200 W,,,con tapa,"25,9 cm",25 mm,"35,9 cm","2,25 kg","webcam, altavoces estéreo, USB-C",,,2023.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,144 Hz,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB / 8 GB,sin sistema operativo,,altavoces estéreo,16:9,Raptor Lake-H,L3,24 MB,16 GB RAM,DDR5,5.200 MHz,1.000 GB,teclado iluminado,3.0,negro,,14.0,"1,8 GHz",5 GHz,45 W,GDDR6,,,64 GB,NVIDIA GeForce RTX 4060,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,1098.99,1098.99,1098.99,,1280x720,,,200.0,25.9,25.0,35.9,2.25,1920x1080,,144.0,24.0,16.0,5200.0,1000.0,4.0,1.8,5.0,45.0,64.0,,,,,,Laptop
"GigaByte G6 (2023)
KF-H3PT854KD",7.0,Portátil gaming,Gigabyte G6,16.0,40.64,WUXGA,,Intel Core i7-13620H,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.2,"integrada, 1.0 Mpx",compatible con HD,1280 x 720 píxeles,teclado gamer,,teclado numérico,2.0,ión-litio,,54.0,150 W,,,con tapa,"26,3 cm",26 mm,"35,9 cm","2,3 kg","micrófono integrado, USB-C, altavoces estéreo, webcam, lector de tarjetas",bloqueo Kensington,,2023.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,165 Hz,Intel,Intel Core i7,,NVIDIA,8.192 MB / 8 GB,Free DOS,MicroSD,,16:10,Raptor Lake-H,L3,24 MB,16 GB RAM,DDR5,,1.000 GB,teclado iluminado,,negro,,10.0,"1,8 GHz","4,9 GHz",45 W,GDDR6,,,,NVIDIA GeForce RTX 4060,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,DTS,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,910.32,1050.4,980.36,,1280x720,,,150.0,26.3,26.0,35.9,2.3,1920x1200,,165.0,24.0,16.0,,1000.0,4.0,1.8,4.9,45.0,,,,,,,Laptop
"ASUS Asus ExpertBook P1 P1403
P1403CVA-S60625X",12.0,Portátil profesional,ASUS ExpertBook,14.0,35.56,Full HD,,Intel Core i5-13420H,SSD,HDMI 1.4,,"Bluetooth, wifi",Bluetooth 5.4,,,,teclado tipo chicle,,,,ión-litio,,50.0,,,,,,,"32,4 cm","1,43 kg",,,,,IEEE 802.11ax,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Professional,,altavoces estéreo,,,,12 MB,16 GB RAM,DDR5,,512 GB,,3.0,gris,,8.0,,"4,6 GHz",,,64.0,,64 GB,Intel UHD Graphics,,ninguno,,,,,,,,,,2x SO-DIMM,,,,,,,,,,,,,,,,,,,,,Laptop,624.68,818.4,721.54,,,,,,,,32.4,1.43,1920x1080,,60.0,12.0,16.0,,512.0,,,4.6,,64.0,,,,,,Laptop
"Lenovo ThinkBook 16 G7 (2024)
21MS0044SP",21.0,Portátil profesional,Lenovo ThinkBook,16.0,40.64,WUXGA,300.0,Intel Core Ultra 5 125U,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,16 h,45.0,,,aluminio,con tapa,"25,3 cm",17 mm,"35,6 cm","1,7 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas","bloqueo Kensington, contraseña BIOS, lector de huellas digitales",sensor de huellas dactilares,2024.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,60 Hz,Intel,Intel Core Ultra 5,1.0,Intel,memoria compartida,Windows 11 Professional,SD,altavoces estéreo,16:10,Meteor Lake,L3,12 MB,16 GB RAM,DDR5,5.600 MHz,512 GB,teclado iluminado,,gris,,12.0,"3,6 GHz","4,3 GHz",15 W,,64.0,,64 GB,Intel Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,,,,Realtek ALC3287,,,,,,,,,,,Laptop,830.76,1174.61,1002.68,,1920x1080,,16.0,,25.3,17.0,35.6,1.7,1920x1200,,60.0,12.0,16.0,5600.0,512.0,4.0,3.6,4.3,15.0,64.0,,,,,,Laptop
"HP 17 2024
17-cn3003ns",10.0,Portátil multimedia,,17.3,43.942,Full HD,250.0,Intel Core i7-1355U,,HDMI,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,"8,25 h",41.0,45 W,,,con tapa,"25,8 cm",21 mm,"40,1 cm","2,08 kg","USB-C, altavoces estéreo, webcam",,,2024.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Home,,altavoces estéreo,16:9,Raptor Lake-U,L3,12 MB,16 GB RAM,DDR4,3.200 MHz,1.000 GB,,3.0,gris,,10.0,"1,2 GHz",5 GHz,15 W,,64.0,,,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,798.0,1043.43,920.72,,1280x720,,8.25,45.0,25.8,21.0,40.1,2.08,1920x1080,,,12.0,16.0,3200.0,1000.0,,1.2,5.0,15.0,,,,,,,Laptop
Samsung Galaxy Book4 Edge 14'',6.0,Portátil multimedia,Samsung Galaxy Book,14.0,35.56,WQXGA,,,SSD,HDMI,,,,,,,,,,,,,,,,,,,,,,,,,,,2.880 x 1.800 píxeles,,120 Hz,,,,,,Windows 11 Home,,,,,,,16 GB RAM,DDR5,,512 GB,,,azul,,,,,,,64.0,,,,,,,,,táctil,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1263.0,1898.68,1580.84,,,,,,,,,,2880x1800,,120.0,,16.0,,512.0,,,,,,,,,,,Laptop
"Acer Predator Triton Neo 16 PTN16-51
S7835569",3.0,Portátil gaming,Acer Predator,16.0,40.64,WQXGA,,Intel Core Ultra 7 155H,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,,76.0,230 W,,,con tapa,25 cm,21 mm,"35,6 cm","2,1 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core Ultra 7,1.0,NVIDIA,8.192 MB / 8 GB,sin sistema operativo,MicroSD,,16:10,Meteor Lake,L3,24 MB,32 GB RAM,,,512 GB,,4.0,gris,,16.0,"3,8 GHz","4,8 GHz",28 W,GDDR6,,,,NVIDIA GeForce RTX 4060,,,,,,,,,,,,,,,,,,,,,Intel AI Boost,,,,,,,,,,,,Laptop,1399.0,1856.51,1627.76,,1920x1080,,,230.0,25.0,21.0,35.6,2.1,2560x1600,,,24.0,32.0,,512.0,,3.8,4.8,28.0,,,,,,,Laptop
"LG Gram 16 2024
16Z90S-G.AD76B",4.0,Portátil multimedia,LG Gram,16.0,40.64,WQXGA,350.0,Intel Core Ultra 7 155H,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,,77.0,,,,con tapa,"24,2 cm",17 mm,"35,5 cm","1,2 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Home,MicroSD,,16:10,Meteor Lake,L3,24 MB,32 GB RAM,LPDDR5,7.467 MHz,512 GB,teclado iluminado,,negro,,16.0,"1,4 GHz","4,8 GHz",28 W,,64.0,,32 GB,Intel Arc Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,1x SO-DIMM,1 x 32 GB,,,,,,,,,,,,,,,,,,,Laptop,1399.0,1996.95,1697.97,,1920x1080,,,,24.2,17.0,35.5,1.2,2560x1600,,,24.0,32.0,7467.0,512.0,4.0,1.4,4.8,28.0,32.0,,,,,,Laptop
"Medion S10
MD62633",8.0,Portátil multimedia,,16.0,40.64,Ultra HD,,Intel Core Ultra 7 155H,SSD,HDMI,,wifi,,integrada,compatible con HD,1920 x 1080 píxeles,,,,,polímero de litio,8 h,70.0,,,,con tapa,"24,6 cm",18 mm,"35,6 cm","1,78 kg","USB-C, webcam",,,2024.0,IEEE 802.11ax,2.560 x 1.440 píxeles,,,Intel,Intel Core Ultra 7,1.0,,memoria compartida,Windows 11 Home,,,16:10,,,,16 GB RAM,DDR5,,1.000 GB,,3.0,plateado,,,,,,,64.0,,64 GB,Intel Arc Graphics,,ninguno,,,teclado numérico,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,853.45,1299.0,1076.22,,1920x1080,,8.0,,24.6,18.0,35.6,1.78,2560x1440,,,,16.0,,1000.0,,,,,64.0,,,,,,Laptop
"MSI Modern 15
H B13M-078XES",1.0,Portátil profesional,MSI Modern,15.6,39.624,Full HD,,Intel Core i9-13900H,,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,,1280 x 720 píxeles,,,,,polímero de litio,,52.0,,,,con tapa,"23,4 cm",16 mm,"35,7 cm","1,6 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2019.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i9,1.0,Intel,memoria compartida,Free DOS,MicroSD,altavoces estéreo,16:9,Raptor Lake-H,L3,24 MB,32 GB RAM,DDR4,3.200 MHz,1.000 GB,teclado iluminado,3.0,negro,,14.0,"1,9 GHz","5,4 GHz",45 W,,,,64 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,,,,,,,,,Laptop,1049.0,1049.0,1049.0,,1280x720,,,,23.4,16.0,35.7,1.6,1920x1080,,,24.0,32.0,3200.0,1000.0,,1.9,5.4,45.0,64.0,,,,,,Laptop
"GigaByte Aorus 15 (2023)
BKG-13ES754SH",5.0,Portátil gaming,Gigabyte Aorus,15.6,39.62,QHD,,Intel Core Ultra 7 155H,SSD,,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,99.0,240 W,,,con tapa,"27,2 cm",21 mm,36 cm,"2,25 kg","webcam, altavoces estéreo, USB-C",,,2023.0,IEEE 802.11ax,2.560 x 1.440 píxeles,,165 Hz,Intel,Intel Core Ultra 7,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Home,,,16:9,Meteor Lake,L3,24 MB,16 GB RAM,DDR5,5.600 MHz,1.000 GB,teclado iluminado,,negro,,16.0,"3,8 GHz","4,8 GHz",28 W,GDDR6,64.0,,32 GB,NVIDIA GeForce RTX 4060,,ninguno,,,,,,,,,,2x SO-DIMM,,,,,,,,,,,,,,,,,,,,,Laptop,1268.0,1517.95,1392.97,,1920x1080,,,240.0,27.2,21.0,36.0,2.25,2560x1440,,165.0,24.0,16.0,5600.0,1000.0,4.0,3.8,4.8,28.0,32.0,,,,,,Laptop
"Lenovo V15 G3
82TT00KBSP",24.0,Portátil multimedia,,15.6,39.62,Full HD,250.0,Intel Core i3-1215U,SSD,HDMI,4 en 1,"LAN, wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,teclado numérico,,ión-litio,,35.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,7 kg","lector de tarjetas, webcam, USB-C",,,2022.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,,Intel,Intel Core i3,1.0,Intel,memoria compartida,sin sistema operativo,,,16:9,Alder Lake-P,L3,10 MB,8 GB RAM,DDR4,3.200 MHz,256 GB,,2.0,negro,,6.0,"0,9 GHz","4,4 GHz",15 W,,,,16 GB,Intel UHD Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,1x SO-DIMM,,,,,,,,,,,,,,,,,,,,,Laptop,330.0,424.02,377.01,,,,,65.0,23.6,20.0,35.9,1.7,1920x1080,,,10.0,8.0,3200.0,256.0,,0.9,4.4,15.0,16.0,,,,,,Laptop
