procesador_frecuencia_turbo_max_ghz,procesador_numero_nucleos,disco_duro_capacidad_de_memoria_ssd_gb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,procesador,procesador_tipo,grafica_tarjeta,ram_tipo,sistema_operativo_sistema_operativo,alimentacion_wattage_binned
4.2,6.0,1000.0,16.0,3200.0,AMD Ryzen 5 5500,Ryzen 5,NVIDIA GeForce GTX 1650,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
4.4,6.0,1000.0,16.0,3200.0,Intel Core i5-12400,Core i5,Intel UHD Graphics 730,DDR4,Microsoft Windows 11 Home,Medium_Power (201-500W)
5.6,20.0,1000.0,32.0,4800.0,Intel Core i7-14700K,Core i7,NVIDIA RTX A2000,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,4.0,512.0,16.0,3200.0,Intel Core i7-11390H,Core i7,Intel Iris Xe Graphics,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.6,12.0,2000.0,32.0,3200.0,AMD Ryzen 9 9900X,Ryzen 9,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.1,12.0,1000.0,32.0,7500.0,AMD Ryzen AI 9 HX 370,AMD Ryzen AI 9,AMD Radeon 890M,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,512.0,8.0,3200.0,Intel Core i5-12400T,Core i5,Intel UHD Graphics 730,DDR4,Microsoft Windows 11 Professional,Low_Power (0-200W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 7800X3D,Ryzen 7,AMD Radeon RX 7900 XT,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,256.0,8.0,3200.0,Intel Core i5-9500,Core i5,Intel UHD Graphics 630,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
4.0,4.0,500.0,16.0,3200.0,AMD Ryzen 3 3200G,Ryzen 3,AMD Radeon RX Vega 8,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.4,6.0,1024.0,16.0,4800.0,Intel Core i5-12400F,Core i5,NVIDIA GeForce RTX 3060,DDR5,ninguno,Medium_Power (201-500W)
4.4,6.0,1000.0,32.0,3200.0,Intel Core i5-12400F,Core i5,NVIDIA GeForce RTX 4070,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
2.8,2.0,1000.0,16.0,2933.0,Intel Celeron N4500,Celeron,Intel UHD Graphics 605,DDR4,Microsoft Windows 10,High_Power (501-850W)
4.9,10.0,1000.0,32.0,3200.0,Intel Core i7-13620H,Core i7,Intel UHD Graphics,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,32.0,4800.0,Intel Core i9-13900,Core i9,NVIDIA RTX A2000,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
