titulo,tipo_de_producto,serie,pantalla_tecnologia,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_version_bluetooth,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,ram_tipo,alimentacion_numero_de_celdas,medidas_y_peso_color,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_transmision_de_datos,comunicaciones_estandar_lan,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,camara_resolucion_pixeles,webcam_mpx,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pixeles,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,volumen_cm3,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
"LG Gram 16 2024
16Z90S-G.AD7BB",Portátil multimedia,LG Gram,WQXGA,Intel Core Ultra 7 155H,SSD,HDMI,integrado,5.3,2.0,ión-litio,77.0,con tapa,2024.0,IEEE 802.11ax,Intel,Intel Core Ultra 7,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Meteor Lake,L3,LPDDR5,3.0,gris,16.0,Intel Arc Graphics,ninguna,Gigabit-LAN,Laptop,1644.35,2079.31,1861.83,16.0,40.64,1920x1080,0.9,10.0,65.0,24.2,17.0,35.5,1.2,2560x1600,24.0,32.0,7467.0,2000.0,4.8,28.0,1460.47,Laptop,1,0,1
HP EliteBook 840 G11,Portátil profesional,HP EliteBook,Full HD,Unknown,SSD,HDMI,integrado,5.4,2.0,ión-litio,56.0,con tapa,2024.0,IEEE 802.11be,Intel,Unknown,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:10,Alder Lake-P,L3,DDR4,3.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1295.99,2679.91,1987.95,14.0,35.56,1280x720,5.0,15.0,65.0,22.4,16.0,31.6,1.41,1920x1080,12.0,16.0,4800.0,512.0,4.7,28.0,1132.544,Laptop,0,0,1
"HP 17 2023
17-cn3002ns",Portátil multimedia,HP,Full HD,Intel Core i3-N305,SSD,HDMI,integrado,4.2,2.0,ión-litio,41.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i3,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Alder Lake-N,L3,DDR4,3.0,plateado,8.0,Intel UHD Graphics,ninguna,Gigabit-LAN,Laptop,524.99,665.35,595.17,17.3,43.942,1280x720,0.9,8.25,65.0,25.8,21.0,40.1,2.07,1920x1080,6.0,8.0,3200.0,512.0,3.8,15.0,2172.6180000000004,Laptop,1,0,1
"ASUS ExpertBook B1402 (2023)
B1402CVA-EB0079X",Portátil profesional,ASUS ExpertBook,Full HD,Intel Core i5-1335U,SSD,HDMI,ninguno,5.1,2.0,ión-litio,42.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i5,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:9,Raptor Lake-U,L3,DDR4,3.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,699.23,703.85,701.54,14.0,35.56,1280x720,0.9,10.0,65.0,21.4,19.0,32.6,2.21,1920x1080,12.0,16.0,4800.0,512.0,4.6,15.0,1325.5159999999998,Laptop,0,0,1
"Acer Extensa 15 EX215
EX215-54-37P2",Portátil multimedia,Acer Extensa,Full HD,Intel Core i3-1115G4,SSD,HDMI,integrado,4.0,2.0,ión-litio,36.0,con tapa,2019.0,IEEE 802.11ax,Intel,Intel Core i3,1.0,Intel,Free DOS,MicroSD,altavoces estéreo,16:9,Tiger Lake UP3,L3,DDR4,2.0,negro,1.0,Intel UHD Graphics,ninguna,Gigabit-LAN,Laptop,418.5,418.5,418.5,15.6,39.62,1280x720,0.9,9.0,45.0,24.8,20.0,36.3,1.9,1920x1080,2.0,4.0,2133.0,256.0,2.6,34.0,1800.48,Laptop,0,0,0
"HP Victus 16 2024
16-wf1032ms",Portátil gaming,HP Victus,Full HD,Intel Core i9-14900HX,SSD,HDMI 2.1,integrado,5.3,2.0,polímero de litio,83.0,con tapa,2024.0,IEEE 802.11ax,Intel,Intel Core i9,1.0,NVIDIA,sin sistema operativo,MicroSD,altavoces estéreo,16:9,Raptor Lake-HX Refresh,L3,DDR5,6.0,negro,24.0,NVIDIA GeForce RTX 4060,ninguna,Gigabit-LAN,Laptop,1629.0,3750.94,2689.97,16.1,40.894,1280x720,0.9,10.0,65.0,25.9,23.0,36.9,2.33,1920x1080,36.0,32.0,5600.0,1000.0,5.6,55.0,2198.133,Laptop,1,0,1
"Medion Akoya S15449
4061275221237",Portátil multimedia,Medion Akoya,Full HD,Intel Core i7-1165G7,SSD,HDMI,integrado,5.0,2.0,polímero de litio,42.0,con tapa,2021.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Tiger Lake UP3,L3,DDR4,3.0,gris,4.0,Intel UHD Graphics,ninguna,Gigabit-LAN,Laptop,637.26,637.26,637.26,15.6,39.624,1280x720,0.9,8.5,65.0,24.4,18.0,36.0,1.78,1920x1080,12.0,8.0,4800.0,512.0,4.7,15.0,1581.12,Laptop,1,0,1
"Dell Inspiron 15 3530
JP8DX",Portátil multimedia,Dell Inspiron,Full HD,Intel Core i5-1334U,SSD,HDMI,integrado,5.3,2.0,polímero de litio,54.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i5,1.0,Intel,Windows 11 Professional,SD,altavoces estéreo,16:9,Raptor Lake-U,L3,DDR4,4.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,562.12,835.6,698.86,15.6,39.624,1280x720,0.9,10.0,65.0,23.6,19.0,35.9,1.62,1920x1080,10.0,16.0,2666.0,512.0,4.6,15.0,1609.756,Laptop,1,0,1
"Lenovo ThinkBook 16 G7 (2024)
21MS004ASP",Portátil profesional,Lenovo ThinkBook,WUXGA,Intel Core Ultra 5 125U,SSD,HDMI,integrado,5.3,2.0,polímero de litio,45.0,con tapa,2024.0,IEEE 802.11ax,Intel,Intel Core Ultra 5,1.0,Intel,Windows 11 Professional,SD,altavoces estéreo,16:10,Meteor Lake,L3,DDR5,3.0,gris,12.0,Intel Graphics,ninguna,Gigabit-LAN,Laptop,720.36,862.75,791.56,16.0,40.64,1920x1080,0.9,16.0,65.0,25.3,17.0,35.6,1.7,1920x1200,12.0,8.0,5600.0,256.0,4.3,15.0,1531.1560000000002,Laptop,1,0,1
"HP Pavilion 15 (2020)
15-eh1001ns",Portátil multimedia,HP Pavilion,Full HD,AMD Ryzen 5 5500U,SSD,HDMI 2.0,integrado,5.0,2.0,ión-litio,52.5,con tapa,2020.0,IEEE 802.11ax,AMD,AMD Ryzen 5,1.0,AMD,Windows 11 Home,SD,altavoces estéreo,16:9,Lucienne U,L3,DDR4,3.0,plateado,6.0,AMD Radeon Graphics,ninguna,Gigabit-LAN,Laptop,571.79,715.28,643.53,15.6,39.62,1280x720,0.9,9.0,150.0,25.6,23.0,36.0,2.2,1920x1080,8.0,16.0,3200.0,512.0,4.0,25.0,2119.68,Laptop,1,0,1
"Lenovo ThinkPad L14 G2
20X1S0EM00",Portátil profesional,Lenovo ThinkPad,Full HD,Intel Core i5-1135G7,PCIe SSD,HDMI,integrado,5.1,2.0,ión-litio,45.0,con tapa,2021.0,IEEE 802.11ax,Intel,Intel Core i5,1.0,Intel,Windows 10 Professional,MicroSD,Dolby Audio Premium,16:9,Tiger Lake UP3,L3,DDR4,3.0,negro,4.0,Intel UHD Graphics,"LTE, 4G",Gigabit-LAN,Laptop,672.99,747.13,710.06,14.0,35.56,1280x720,0.9,9.0,65.0,23.5,19.0,33.1,1.58,1920x1080,8.0,8.0,3200.0,512.0,4.2,15.0,1477.915,Laptop,1,0,1
"HP 15s
15s-eq2090nf",Portátil multimedia,HP,Full HD,AMD Ryzen 7 5700U,SSD,HDMI,integrado,5.0,2.0,ión-litio,41.0,con tapa,2019.0,IEEE 802.11ax,AMD,AMD Ryzen 7,1.0,AMD,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Lucienne U,L3,DDR4,3.0,gris,8.0,AMD Radeon Graphics,ninguna,Gigabit-LAN,Laptop,702.11,800.1,751.11,15.6,39.62,1280x720,0.9,10.25,65.0,24.2,18.0,35.6,1.69,1920x1080,8.0,16.0,3200.0,512.0,4.3,25.0,1550.736,Laptop,0,0,1
"HP ChromeBook 14 (2020)
14a-na1009ns",Chromebook,HP ChromeBook,Full HD,Intel Pentium N6000,memoria flash,HDMI,integrado,5.0,2.0,ión-litio,47.0,con tapa,2020.0,IEEE 802.11ac,Intel,Intel Pentium,1.0,Intel,Chrome OS,MicroSD,altavoces estéreo,16:9,Jasper Lake,L3,LPDDR4X,2.0,plateado,4.0,Intel UHD Graphics,ninguna,Gigabit-LAN,Laptop,410.47,578.4,494.44,14.0,35.56,1280x720,0.9,10.0,45.0,21.9,18.0,32.6,1.5,1920x1080,4.0,8.0,2933.0,128.0,3.3,6.0,1285.092,Laptop,1,0,1
"Apple MacBook Air 15"" 2024 M3
Space Gray MC9H4FN/A",Portátil multimedia,Apple MacBook Air,Retina,Apple M3,SSD,Thunderbolt 4,ninguno,5.3,6.0,polímero de litio,66.5,con tapa,2024.0,IEEE 802.11ax,Apple,Apple M,1.0,Apple,macOS Sequoia,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,3.0,gris,8.0,Apple M3 Graphics,ninguna,Gigabit-LAN,Laptop,2149.95,2678.46,2414.2,15.3,38.862,1920x1080,0.9,15.0,35.0,23.8,12.0,34.0,1.51,2880x1864,12.0,24.0,4800.0,512.0,4.7,28.0,971.04,Laptop,1,0,1
"ASUS TUF Gaming F15 FX507
FX507ZI4-LP031W",Portátil gaming,ASUS TUF Gaming,WUXGA,Intel Core i7-12700H,SSD,HDMI 2.0,integrado,5.2,2.0,ión-litio,90.0,con tapa,2022.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,NVIDIA,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,4.0,negro,14.0,NVIDIA GeForce RTX 4070,ninguna,Gigabit-LAN,Laptop,2201.0,2201.0,2201.0,15.6,39.624,1280x720,0.9,10.0,240.0,25.1,25.0,35.4,2.2,1920x1080,24.0,16.0,3200.0,512.0,4.7,45.0,2221.35,Laptop,0,0,1
