ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,otras_caracteristicas_certificado,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,almacenamiento_formato_audiovisual_compatible,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,otras_caracteristicas_certificado_rohs,sistema_operativo_software_incluido,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
16.0,PC de oficina,disco duro SSD,,Ethernet,,,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,8.0,2.0,,,,,,,,,,,,,,508.76,663.63,586.19,30.8,10.0,4.5,12.0,8.0,3200.0,256.0,,4.5,64.0,,27.0,3.4,58.0,1,28.0,202.0,213.0,52.0,52.0,54.0,3731.0,190.0,29.0,1182.0,397.0,,
11.0,PC de oficina,disco duro SSD,,Ethernet,,,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,,negro,,,2.0,,,,,,,,,,,,,,617.5,805.56,711.53,30.3,15.5,4.7,,8.0,3200.0,256.0,,,64.0,,33.0,,,1,39.0,374.0,,2259.0,,87.0,3731.0,947.0,,1182.0,,,
13.0,PC de oficina,disco duro SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,,2.0,,,,,,,,,,,,,,559.9,765.87,662.88,17.8,3.6,,,16.0,,512.0,,4.4,64.0,,18.0,2.0,,1,29.0,374.0,126.0,2259.0,,59.0,3731.0,947.0,,1182.0,813.0,,
4.0,PC de oficina,disco duro SSD,,Ethernet,,,,1.0,DDR4,,,grabadora DVD,Ethernet 10/100/1000,,,,,Desktop,conexión micrófono/auriculares,torre,negro,empresas,,,,,,,,,,,,,,,,291.75,353.46,322.61,22.0,44.0,,,8.0,2666.0,480.0,,,,,39.0,2.9,,1,133.0,108.0,,2259.0,,65.0,3731.0,947.0,,165.0,,,
16.0,PC de oficina,disco duro SSD,,"Ethernet, Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,16.0,2.0,,,,,,,,,,,,,,559.22,732.96,646.09,30.8,10.0,5.0,20.0,8.0,3200.0,256.0,2.5,4.6,64.0,,27.0,2.5,65.0,1,49.0,202.0,213.0,,866.0,87.0,3731.0,947.0,,1182.0,233.0,,749.0
15.0,PC de oficina,disco duro SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,Intel,,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,20.0,2.0,,,,,,,,,,,,,,628.27,844.28,736.27,17.8,3.6,1.2,24.0,8.0,,512.0,2.6,5.0,64.0,,18.0,2.6,,1,36.0,374.0,126.0,,,59.0,3731.0,947.0,,1182.0,163.0,,749.0
13.0,PC de oficina,disco duro SSD,,Ethernet,,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,24.0,2.0,,,,,,,,,,,,,,757.15,1059.66,908.4,30.8,10.0,4.5,30.0,16.0,3200.0,512.0,2.1,5.2,64.0,,27.0,2.1,219.0,1,105.0,374.0,213.0,63.0,866.0,31.0,3731.0,833.0,29.0,1182.0,337.0,,749.0
17.0,PC de oficina,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,,Desktop,,minitorre,negro,empresas,20.0,2.0,,,,,,,,,,,,,,686.69,944.17,815.43,29.22,15.4,,24.0,16.0,,512.0,2.6,5.0,64.0,,32.0,2.6,,1,36.0,374.0,126.0,,,54.0,3731.0,947.0,,1182.0,163.0,,749.0
14.0,PC de oficina,disco duro SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,,2.0,,,,,,,,,,,,,,539.9,765.21,652.56,17.8,3.6,,,8.0,,512.0,,4.4,64.0,,18.0,2.0,,1,29.0,374.0,126.0,2259.0,,59.0,3731.0,947.0,,1182.0,813.0,,
4.0,PC de oficina,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,,Intel,1.0,DDR4,,64.0,ninguno,,,,,,Desktop,,factor de forma pequeño (SFF),negro,,16.0,2.0,,,,,,,canal 5.1,,,,,,,748.0,807.1,777.55,5.5,20.4,2.75,20.0,8.0,1600.0,512.0,2.5,4.6,64.0,,20.0,2.5,65.0,1,49.0,,,,866.0,28.0,,947.0,,1182.0,233.0,,749.0
4.0,PC de oficina,disco duro SSD,,Ethernet,,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),,empresas,20.0,4.0,,,,,,,,,,,,,,861.49,1102.21,981.85,,,3.9,25.0,16.0,3200.0,512.0,2.1,4.9,128.0,,,2.1,180.0,1,52.0,374.0,126.0,2259.0,529.0,43.0,,833.0,,200.0,297.0,,749.0
14.0,PC de oficina,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,,Intel,,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,24.0,,1.0,,,,,,,,,,,,,852.03,1180.98,1016.5,34.0,9.3,7.0,30.0,16.0,3200.0,512.0,2.1,5.2,128.0,,29.0,2.1,219.0,1,105.0,374.0,213.0,63.0,866.0,43.0,3731.0,833.0,,1182.0,337.0,139.0,749.0
11.0,PC de oficina,disco duro SSD,,Ethernet,,,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,,negro,,8.0,,,,,,,,,,,,,,,547.68,717.11,632.39,30.3,15.5,4.7,12.0,8.0,3200.0,256.0,,4.5,,,33.0,3.4,58.0,1,28.0,202.0,,2259.0,52.0,87.0,3731.0,190.0,,1182.0,397.0,,
12.0,PC de oficina,disco duro SSD,,,,,,,DDR5,,,,,,,,,Desktop,,,,,28.0,,,,,,,,,,,,,,,1753.72,2466.82,2110.27,,,,33.0,16.0,5600.0,512.0,2.1,5.4,,,,2.1,65.0,1,69.0,,213.0,,866.0,,,833.0,,1182.0,160.0,,749.0
11.0,PC de oficina,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,,Desktop,,,negro,empresas,12.0,4.0,,,,,,,,,,,,,,620.75,813.43,717.09,29.8,9.25,5.3,18.0,8.0,4400.0,256.0,,4.8,128.0,,33.0,3.3,65.0,1,12.0,374.0,213.0,,529.0,43.0,3731.0,947.0,,1182.0,813.0,,749.0
11.0,PC de oficina,disco duro SSD,,,,,,,DDR5,,,,,,,,,Desktop,,,,,28.0,,,,,,,,,,,,,,,1405.51,1988.49,1697.0,,,,33.0,16.0,,512.0,2.1,5.4,,,,2.1,65.0,1,69.0,,96.0,,866.0,,,833.0,,1182.0,160.0,,749.0
11.0,PC de oficina,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,,,,,,,,,,,,,,,,655.02,871.02,763.02,29.4,14.5,5.5,,16.0,3200.0,512.0,,,,,34.0,4.4,,1,79.0,202.0,213.0,2259.0,,43.0,3731.0,947.0,,1182.0,,,
3.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,12.0,2.0,,,,,,,,,,,,,,1067.04,1450.18,1258.61,30.8,15.5,5.31,18.0,8.0,3200.0,512.0,,4.6,64.0,,33.0,3.0,65.0,1,39.0,374.0,59.0,2259.0,529.0,931.0,3731.0,947.0,,200.0,813.0,,
4.0,PC de oficina,disco duro SSD,,Ethernet,,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,16.0,,,,,,,,,,,,,,,555.23,723.99,639.61,30.8,10.0,5.0,20.0,16.0,3200.0,512.0,2.5,4.6,,,27.0,2.5,65.0,1,49.0,202.0,213.0,63.0,866.0,54.0,3731.0,947.0,29.0,1182.0,233.0,,749.0
10.0,PC de oficina,,,Ethernet,Bluetooth 4.2,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,empresas,20.0,4.0,,,,,,,,,,,,,,1027.53,1500.4,1263.97,30.8,33.7,6.1,24.0,16.0,4800.0,512.0,,4.8,128.0,,15.0,2.5,,1,84.0,374.0,112.0,,866.0,931.0,3731.0,356.0,92.0,1182.0,163.0,,749.0
12.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,28.0,2.0,,,,,,,,mate,,,,,,986.23,1431.37,1208.8,30.8,15.5,8.4,33.0,16.0,5600.0,512.0,,5.3,64.0,,33.0,2.1,,1,69.0,10.0,106.0,,866.0,43.0,124.0,833.0,,1182.0,160.0,,749.0
