ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,otras_caracteristicas_software_incluido,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_articulo_incluido,comunicaciones_caracteristicas_del_bluetooth,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
73.0,Portátil profesional,,,,,"Bluetooth, wifi",,integrada,,1920 x 1080 píxeles,,,2.0,,54.0,,,con tapa,,2024.0,IEEE 802.11ax,,,,,altavoces estéreo,16:9,,DDR5,,3.0,,,,,,,panorámica,,,,,,,,,,,,,,,,,Laptop,711.97,1412.08,1062.03,14.0,35.56,250.0,,1920x1080,,65.0,21.9,19.0,32.2,1.5,,,,,,,4.0,,,,,,,,,,1,,,84.0,673.0,,,,,,,1604.0,1604.0
60.0,Portátil profesional,,SSD,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,2.0,polímero de litio,76.0,,,con tapa,,2024.0,IEEE 802.11ax,,,Intel,,altavoces estéreo,16:10,,,,6.0,,,64.0,,,,,,,,,,,,,,,,,,,,,Laptop,954.01,2836.17,1895.09,16.0,40.64,400.0,,,19.0,65.0,25.1,16.0,35.9,1.72,,,,,,,,,,,,,,,,,1,,,135.0,673.0,,,3731.0,,1043.0,,,
12.0,Portátil profesional,,,HDMI 2.0,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,46.0,,aluminio,con tapa,,2023.0,IEEE 802.11ax,,,,,,16:10,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Laptop,850.0,1086.99,968.5,13.3,33.782,300.0,,1920x1080,,45.0,21.8,17.0,30.5,1.26,,,,,,,4.0,,,,,,,,,,1,,,222.0,673.0,,,,,,,,
19.0,Portátil profesional,Full HD,SSD,HDMI,,"wifi, Bluetooth",,integrada,,720 x 480 píxeles,,teclado numérico,,ión-litio,50.0,,,con tapa,,2023.0,,AMD,1.0,AMD,,SonicMaster,16:9,L3,LPDDR5,teclado iluminado,3.0,plateado,,64.0,ninguna,ninguno,teclado numérico,,,,,,,,,,,,,,,,,,Laptop,449.01,692.49,570.75,15.6,39.624,250.0,,720x480,,65.0,23.25,18.0,36.03,1.63,,60.0,4.0,8.0,,512.0,,2.8,4.3,15.0,8.0,19.0,3.42,,,,1,47.0,391.0,198.0,488.0,61.0,,3731.0,200.0,1212.0,355.0,1604.0,1604.0
42.0,Portátil profesional,,,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 5.2,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,57.0,,,con tapa,,2023.0,IEEE 802.11ax,,,,,,16:10,,,,3.0,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,830.76,1784.5,1307.63,16.0,40.64,400.0,,1920x1080,15.0,65.0,24.8,20.0,35.6,1.77,,,,,,,4.0,,,,,,,,,,1,,,222.0,673.0,,,,,,,,
2.0,Portátil profesional,Full HD,,HDMI 2.1,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,,,,,2.0,polímero de litio,53.8,,,con tapa,,2023.0,IEEE 802.11ax,AMD,1.0,AMD,MicroSD,altavoces estéreo,16:9,L3,DDR4,teclado iluminado,3.0,negro,,,ninguna,ninguno,teclado numérico,,,,,,,0x SO-DIMM,,,,,,,,,,,Laptop,599.0,891.14,745.07,15.6,39.624,,4096x2304,,,65.0,24.1,20.0,35.9,1.7,,60.0,16.0,16.0,3200.0,512.0,4.0,2.0,4.5,15.0,16.0,,,,,,1,45.0,391.0,37.0,54.0,77.0,,3731.0,206.0,265.0,561.0,1604.0,1604.0
8.0,Portátil profesional,,SSD,,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,45.8,,aluminio,con tapa,,2021.0,IEEE 802.11ax,,,,,,3:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,538.3,5171.32,2854.81,15.0,38.1,,,1280x720,17.0,,24.4,15.0,34.0,1.5,,,,,,,,,,,,,,,,,1,,,158.0,673.0,,,,,,,,
1.0,Portátil profesional,,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,,,aluminio,con tapa,,2022.0,IEEE 802.11ax,Intel,1.0,Intel,,,3:2,L3,LPDDR5X,teclado iluminado,,plateado,,64.0,ninguna,ninguno,,,,,,,,,,,,,,,,,,,Laptop,599.0,599.0,599.0,15.0,38.1,400.0,,1280x720,17.0,,24.4,15.0,34.0,1.56,,,12.0,16.0,,256.0,,1.3,4.8,15.0,,,,,,,1,17.0,916.0,158.0,673.0,536.0,,3731.0,807.0,1043.0,753.0,35.0,35.0
53.0,Portátil profesional,,SATA,VGA,4 en 1,"wifi, Bluetooth, LAN",Bluetooth 4.0,,compatible con HD,1280 x 720 píxeles,,"teclas multimedia, teclas Windows, teclas de función, teclado numérico",,,,,,con tapa,,2015.0,,Intel,1.0,,,altavoces estéreo,16:9,,DDR3L,,6.0,negro,,,,,,,Gigabit-LAN,,,,1x SO-DIMM,,,,,,,,,,,Low Energy,Laptop,724.96,1750.27,1237.62,15.6,39.62,,,1280x720,4.5,65.0,25.9,34.0,37.6,2.2,100.5,,,,1600.0,,,,,,8.0,,,,,5400.0,1,,,84.0,11.0,,79.0,,,,,,
7.0,Portátil profesional,Full HD,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,,1280 x 720 píxeles,,,,,39.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,DDR4,,3.0,,,,,ninguno,,panorámica,,HD Audio,,,,,,,,,,,,,,,Laptop,729.0,862.44,795.72,15.6,39.624,,4096x2304,1280x720,,90.0,24.1,19.0,35.9,1.9,,,,,3200.0,,4.0,,,45.0,,,,,,,1,,,37.0,54.0,,1.0,3731.0,,,,1604.0,1604.0
