ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_propiedades,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,comunicaciones_caracteristicas_del_bluetooth,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
5.0,Portátil gaming,,SSD,HDMI 2.1,,"Bluetooth, wifi",Bluetooth 5.2,2.0 Mpx,,,,,,,ión-litio,68.0,,,con tapa,,2024.0,,AMD,1.0,NVIDIA,,,16:9,L3,DDR5,,,,,GDDR6,64.0,5 ms,,,,panorámica,,,,,,,,,,,,,,,,,Laptop,2669.95,3907.01,3288.48,14.0,35.56,500.0,,,10.0,230.0,22.8,18.0,31.1,1.84,240.0,24.0,32.0,5600.0,1000.0,,4.0,5.2,45.0,,19.5,11.8,,,1,22.0,358.0,30.0,673.0,49.0,,400.0,53.0,1212.0,561.0,,
18.0,Portátil gaming,WQXGA,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,99.0,,,con tapa,,2024.0,IEEE 802.11be,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,DDR5,teclado iluminado,,negro,,GDDR6,64.0,,ninguna,ninguno,,,Gigabit-LAN,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,Laptop,1388.28,2139.0,1763.64,16.0,40.64,,,1920x1080,,240.0,25.4,27.0,35.6,2.3,165.0,30.0,32.0,5600.0,1000.0,4.0,1.6,5.2,55.0,64.0,,,,,1,23.0,358.0,29.0,673.0,86.0,,400.0,807.0,1212.0,366.0,347.0,347.0
15.0,Portátil gaming,,,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,polímero de litio,,no,,con tapa,,2024.0,IEEE 802.11ax,,,,,altavoces estéreo,16:9,,,,,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,749.0,1352.11,1050.55,15.6,39.624,,,1280x720,7.5,135.0,24.0,24.0,36.2,2.1,,,,,,,,,,,,,,,1,,,45.0,488.0,,,,,,,,
65.0,Portátil gaming,,,HDMI 2.1,,"Bluetooth, wifi, LAN",Bluetooth 5.3,integrada,30 fps,,teclado gamer,,,2.0,ión-litio,53.5,,,con tapa,,,IEEE 802.11ax,Intel,,,,,16:9,,,,3.0,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,891.48,1479.25,1185.37,15.6,39.624,,4096x2304,,,120.0,25.0,23.0,35.9,1.98,,,,,,4.0,,,,,,,,,1,,,,,,79.0,,,,,,
11.0,Portátil gaming,,,HDMI,4 en 1,"wifi, Bluetooth, LAN",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,80.0,,,con tapa,,2023.0,IEEE 802.11ax,,,,,altavoces estéreo,16:10,L3,,,,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,1429.29,2641.51,2035.4,16.0,40.64,300.0,,1920x1080,7.6,230.0,26.0,25.0,36.0,2.4,,,,,,4.0,,,45.0,,,,,,1,,,57.0,115.0,,,,,,,,
12.0,Portátil gaming,,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,90.0,,,con tapa,,2024.0,IEEE 802.11ax,,,,MicroSD,,16:10,,,,4.0,,,,,3 ms,,,,,,,,,,,,,,,,,,,,,Laptop,2099.0,7376.36,4737.68,16.0,40.64,500.0,,1920x1080,,,24.6,17.0,35.4,2.0,,,,,,4.0,,,,,,,,,1,,,98.0,405.0,,,,,,,,
23.0,Portátil gaming,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,4.0,polímero de litio,95.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,SD,THX Spatial Audio,16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2041.48,4399.0,3220.24,16.0,40.64,,,1920x1080,,330.0,24.4,22.0,35.5,2.45,,,,,,,,,,,,,,,1,,,30.0,405.0,,,,192.0,1212.0,,,
18.0,Portátil gaming,QHD,,,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,99.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,,16:9,L3,DDR5,teclado iluminado,,negro,,GDDR6,64.0,,ninguna,ninguno,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,975.2,1247.69,1111.45,15.6,39.62,,,1920x1080,,240.0,27.2,21.0,36.0,2.25,165.0,24.0,16.0,4800.0,1000.0,4.0,1.8,5.0,45.0,64.0,,,,,1,91.0,487.0,29.0,488.0,274.0,,400.0,807.0,1212.0,299.0,78.0,78.0
8.0,Portátil gaming,FHD+,,,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,30 fps,,teclado gamer,,,2.0,,65.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:10,L3,DDR5,teclado iluminado,4.0,negro,,GDDR6,,,ninguna,ninguno,teclado numérico,IPS,Gigabit-LAN,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,Intel HM770,"MSI App Player, MSI Center",,,,,,,,,Laptop,1249.95,1398.3,1324.12,16.0,40.64,,8192x4608,,,200.0,26.6,27.0,35.9,2.3,144.0,30.0,16.0,5600.0,1000.0,4.0,1.6,5.2,55.0,96.0,,,,,1,23.0,358.0,11.0,58.0,86.0,7.0,400.0,807.0,272.0,366.0,537.0,537.0
48.0,Portátil gaming,,,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,70.0,,,con tapa,,2023.0,IEEE 802.11ac,,,,,,16:9,L3,,,,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,614.09,2089.36,1351.73,15.6,39.624,,,1280x720,,,25.5,24.0,35.8,2.29,,,,,,,,,,,,,,,1,,,72.0,405.0,,,,,,,,
