ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,propiedades_de_la_carcasa_bahia_externa_de_3_5,procesador_placa_base,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
2.0,PC gaming,disco duro M.2 SSD,,wifi,,,Intel,,,GDDR6,,ninguno,,,,Ray tracing,Desktop,,,negro,"empresas, gaming",16.0,,,,,,,,,,,,999.0,1059.0,1029.0,,,,16.0,32.0,,1000.0,2.9,4.8,,,,2.9,65.0,1,15.0,183.0,,2259.0,118.0,,412.0,833.0,,,589.0,,135.0
8.0,PC gaming,,,"Bluetooth, Ethernet, wifi",Bluetooth 5.0,,,,,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,,principiante,,,,,,,,,,,,,866.0,2299.0,1582.5,35.0,16.3,,,,,,,,,,34.0,,,1,,,56.0,,,931.0,,,,,,139.0,
2.0,PC gaming,disco duro M.2 SSD,HDMI,Ethernet,,,,1.0,DDR4,GDDR6,,ninguno,Ethernet 10/100/1000,2 USB 3.2,,,Desktop,,desktop,negro,gaming,,,,,,,,,,,,,911.85,928.28,920.07,42.1,21.0,,,32.0,,1000.0,,,,,49.0,,,1,70.0,487.0,,,,93.0,679.0,295.0,,165.0,,,
1.0,PC gaming,disco duro SSD,,,,,AMD,,,,,,,,,,Desktop,,,,gaming,,,,,,,,,,,,,3643.54,3643.54,3643.54,,,,,,,,,,,,,,,1,,,,2259.0,,,,,,,,,
1.0,PC gaming,disco duro SSD,HDMI,,,,AMD,1.0,DDR4,,,,,,,,Desktop,,,,gaming,16.0,,,,,,,,,,,,1663.9,1663.9,1663.9,,,,32.0,32.0,,2000.0,3.4,4.6,,,,3.4,65.0,1,70.0,44.0,,2259.0,159.0,95.0,,295.0,,1182.0,589.0,,478.0
1.0,PC gaming,disco duro SSD,,"wifi, Bluetooth",,,Intel,1.0,DDR5,,,ninguno,,,,Ray tracing,Desktop,,,negro,gaming,16.0,,,,,,,,,,,,1199.0,1199.0,1199.0,,,,20.0,16.0,5600.0,1000.0,2.5,4.7,,,,2.5,65.0,1,40.0,487.0,10.0,2259.0,207.0,67.0,679.0,947.0,28.0,165.0,233.0,,749.0
2.0,PC gaming,,,,,IEEE 802.11ax,Intel,1.0,DDR5,,,ninguno,,,,Ray tracing,Desktop,,semitorre,negro,gaming,,,,,,2.0,,,,,,,849.0,1498.99,1173.99,45.6,18.5,,,16.0,4800.0,,,,,,45.0,,65.0,1,,,57.0,,529.0,931.0,,,,,,10.0,749.0
5.0,PC gaming,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,IEEE 802.11ax,,,DDR4,,,,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,gaming,,,,,,,,,,,,,637.26,1601.79,1119.53,30.4,17.0,,,,,,,,,,37.0,,,1,,,34.0,,,,,,,,,,
1.0,PC gaming,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",,IEEE 802.11ax,Intel,1.0,DDR5,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,conexión micrófono/auriculares,desktop,gris,gaming,28.0,4.0,,,,,,,,,,,1349.0,1349.0,1349.0,43.0,18.0,8.0,33.0,32.0,,1000.0,2.1,5.4,64.0,,42.0,2.1,65.0,1,21.0,487.0,23.0,2259.0,207.0,95.0,679.0,833.0,52.0,,160.0,,749.0
3.0,PC gaming,disco duro SSD,,,,,AMD,,,,,,,,,,Desktop,,,,,16.0,,,,,,,,,,,,1157.85,1958.58,1558.21,,,,32.0,32.0,,1000.0,3.4,4.6,,,,3.4,65.0,1,70.0,14.0,,2259.0,159.0,95.0,,295.0,,,589.0,,478.0
1.0,PC gaming,disco duro SSD,,wifi,,,AMD,,DDR4,,,,,,,,Desktop,,,,gaming,16.0,,,,,,,,,,,,1048.9,1048.9,1048.9,,,,32.0,32.0,,1000.0,3.4,4.6,,,,3.4,65.0,1,70.0,191.0,,2259.0,159.0,57.0,,295.0,,1182.0,589.0,,478.0
2.0,PC gaming,disco duro SSD,,,,,AMD,,DDR4,,,ninguno,,,,,Desktop,,,,gaming,12.0,,,,,,,,,,,,919.0,919.0,919.0,,,,32.0,16.0,,1000.0,3.7,4.6,,,,3.7,65.0,1,22.0,487.0,,2259.0,159.0,,,327.0,,,813.0,,478.0
3.0,PC gaming,disco duro SSD,HDMI,Ethernet,,,,1.0,,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,desktop,negro,gaming,,,,,,,,,,,,,921.22,942.02,931.62,42.1,21.0,,,16.0,,1000.0,,,,,49.0,,,1,104.0,191.0,,,,93.0,679.0,947.0,,165.0,,,
3.0,PC gaming,disco duro SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,Desktop,,desktop,negro,gaming,12.0,1.0,,,,,,,,,,,457.0,491.0,474.0,39.0,21.0,,16.0,16.0,3200.0,1000.0,,4.4,,,43.0,3.9,65.0,1,41.0,10.0,,2259.0,,148.0,3731.0,327.0,,398.0,813.0,,
3.0,PC gaming,disco duro SSD,,"Bluetooth, Ethernet, wifi",Bluetooth 5.0,,Intel,1.0,DDR4,GDDR6,,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,semitorre,negro,principiante,12.0,,,,,,,,,,,,866.0,1049.0,957.5,35.0,16.3,,18.0,16.0,3200.0,1024.0,2.5,4.4,64.0,,34.0,,65.0,1,104.0,90.0,56.0,,529.0,67.0,679.0,947.0,,398.0,813.0,139.0,749.0
1.0,PC gaming,disco duro SSD,,,,,Intel,,,,,,,,,,Desktop,,,,,16.0,,,,,,,,,,,,2063.77,2063.77,2063.77,,,,20.0,32.0,,1000.0,2.5,4.7,,,,2.5,65.0,1,40.0,15.0,,2259.0,207.0,95.0,,947.0,,,233.0,,
2.0,PC gaming,disco duro M.2 SSD,,wifi,,,Intel,1.0,DDR4,GDDR6,64.0,,,,,Ray tracing,Desktop,,torre,negro,gaming,16.0,,,,,,,,,,,,987.0,1019.0,1003.0,,,,16.0,32.0,,1000.0,2.9,4.8,,,,2.9,65.0,1,15.0,183.0,,,123.0,148.0,412.0,833.0,28.0,1182.0,589.0,,135.0
2.0,PC gaming,disco duro SSD,,"wifi, Bluetooth",,,Intel,,,,,,,,,,Desktop,,torre,negro,gaming,32.0,4.0,,,,,,,,,,,4970.08,13329.67,9149.88,,,,36.0,64.0,,2000.0,3.0,5.8,,,,3.0,125.0,1,19.0,54.0,,2259.0,866.0,,,356.0,,389.0,194.0,,749.0
1.0,PC gaming,disco duro SSD,,"wifi, Bluetooth",,,Intel,1.0,DDR5,,,ninguno,,,,Ray tracing,Desktop,,,negro,gaming,28.0,2.0,,,,,,,,,,,1899.0,1899.0,1899.0,,,,33.0,32.0,,1000.0,2.1,5.4,,,,2.1,65.0,1,21.0,358.0,10.0,2259.0,207.0,67.0,412.0,833.0,28.0,165.0,160.0,,749.0
12.0,PC gaming,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.1,IEEE 802.11ax,Intel,1.0,DDR4,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,16.0,2.0,,,,,,,,,,,725.0,1206.99,966.0,30.4,17.0,8.4,20.0,16.0,3200.0,1000.0,2.5,4.6,32.0,,37.0,2.5,65.0,1,47.0,164.0,9.0,2259.0,866.0,16.0,679.0,947.0,,389.0,233.0,,749.0
61.0,PC gaming,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,Ray tracing,Desktop,,semitorre,,gaming,,,,,,,,,,,,,989.0,3198.88,2093.94,39.6,16.5,,,,,,,,,,44.0,,,1,,,94.0,,,931.0,,,33.0,,,,
1.0,PC gaming,disco duro SSD,,,,,Intel,,,,,,,,,,Desktop,,,,gaming,20.0,,,,,,,,,,,,2429.59,2429.59,2429.59,,,,24.0,32.0,,1000.0,3.5,5.1,,,,3.5,125.0,1,14.0,76.0,,,866.0,68.0,,947.0,,,163.0,,
2.0,PC gaming,disco duro SSD,,"wifi, Bluetooth",,,Intel,1.0,DDR5,,,,,,,,Desktop,,,,gaming,24.0,,,,,,,,,,,,1299.0,1419.0,1359.0,,,,30.0,32.0,,1000.0,3.2,5.2,,,,3.2,125.0,1,10.0,191.0,,2259.0,529.0,95.0,679.0,356.0,,,337.0,,
4.0,PC gaming,disco duro SSD,,"Bluetooth, Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ax,AMD,,DDR4,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,minitorre,negro,gaming,12.0,2.0,2.0,,,,,,mate,,,,824.23,890.28,857.25,29.7,15.5,8.6,16.0,16.0,3200.0,512.0,,4.4,,,33.0,3.9,,1,41.0,164.0,40.0,52.0,,36.0,679.0,327.0,,389.0,813.0,139.0,
3.0,PC gaming,disco duro SSD,,wifi,,,Intel,,DDR5,,,,,,,,Desktop,,semitorre,negro,gaming,32.0,,,,,,,,,,,,4123.02,4892.99,4508.01,,,,36.0,32.0,,2000.0,3.2,6.0,,,,3.2,125.0,1,23.0,54.0,,2259.0,866.0,24.0,,356.0,,,194.0,,
2.0,PC gaming,disco duro M.2 SSD,,"wifi, Bluetooth",,,Intel,1.0,,,,,,,,,Desktop,,,,gaming,20.0,,,,,,,,,,,,1299.0,1419.0,1359.0,,,,25.0,32.0,,1000.0,2.1,4.9,,,,2.1,65.0,1,33.0,358.0,,2259.0,529.0,95.0,412.0,833.0,,,297.0,,
4.0,PC gaming,disco duro SSD,,"Bluetooth, Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,minitorre,negro,gaming,16.0,2.0,2.0,,,,,canal 5.1,mate,,,,756.22,816.82,786.52,29.7,15.5,8.6,20.0,16.0,3200.0,512.0,,4.6,32.0,,33.0,2.5,,1,47.0,3.0,40.0,52.0,866.0,36.0,124.0,947.0,,389.0,233.0,139.0,749.0
1.0,PC gaming,disco duro SSD,,"Bluetooth, Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ax,,1.0,DDR4,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,minitorre,negro,gaming,,,2.0,,,,,canal 5.1,,,,,849.0,849.0,849.0,29.7,15.5,6.31,,16.0,,512.0,,,,,33.0,,,1,41.0,164.0,40.0,63.0,,36.0,679.0,327.0,,165.0,,139.0,
35.0,PC gaming,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,Ray tracing,Desktop,,torre,,gaming,,,,,,,,,,,,,899.0,6056.75,3477.88,47.0,20.4,,,,,,,,,,46.0,,,1,,,94.0,,,931.0,,,,,,,
1.0,PC gaming,,,,,,,,DDR4,,,,,,,Ray tracing,Desktop,,,,gaming,,,,,,,,,,,,,2723.02,2723.02,2723.02,39.61,16.5,,,,,,,,,,44.0,,,1,,,94.0,,,,,,,,,,
7.0,PC gaming,disco duro SSD,,"Bluetooth, Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,minitorre,negro,gaming,16.0,2.0,2.0,,,,,canal 5.1,mate,,,,1057.95,1267.76,1162.86,29.7,15.5,8.6,20.0,16.0,3200.0,1000.0,,4.6,32.0,,33.0,2.5,,1,47.0,487.0,40.0,44.0,866.0,36.0,679.0,947.0,,389.0,233.0,139.0,749.0
15.0,PC gaming,disco duro M.2 SSD,,"wifi, Ethernet",,IEEE 802.11ax,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,,desktop,negro,gaming,16.0,,,,,,,,,,,,1099.99,1392.87,1246.43,40.2,21.5,,20.0,16.0,4800.0,1000.0,2.5,4.7,,,34.0,2.5,65.0,1,22.0,487.0,49.0,2259.0,207.0,148.0,679.0,947.0,,389.0,233.0,,749.0
3.0,PC gaming,disco duro SSD,,Ethernet,,,,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,,2.0,,,,,,,,,,,898.99,1777.99,1338.49,38.6,17.5,,,16.0,,1000.0,,4.6,,,39.0,,,1,47.0,487.0,45.0,2259.0,,931.0,679.0,947.0,,398.0,813.0,139.0,
4.0,PC gaming,disco duro SSD,,"Ethernet, wifi",,,Intel,1.0,DDR5,GDDR6X,,ninguno,,,,,Desktop,,,blanco,gaming,28.0,2.0,,,,,,,,,,,2499.99,2599.99,2549.99,,,18.0,33.0,32.0,5200.0,2000.0,,5.6,,,,3.4,125.0,1,27.0,66.0,,,866.0,931.0,412.0,833.0,,389.0,160.0,,
2.0,PC gaming,disco duro SSD,HDMI,,,,AMD,1.0,,,,ninguno,,,,,Desktop,,,,gaming,12.0,,,,,,,,,,,,1249.0,1822.79,1535.89,,,,32.0,32.0,,1000.0,4.7,5.3,,,,4.7,105.0,1,17.0,487.0,,2259.0,94.0,,,327.0,,398.0,813.0,,167.0
3.0,PC gaming,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,2.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,desktop,negro,gaming,,,,,2 TB,,,,,,,,541.0,581.0,561.0,39.0,21.0,,16.0,16.0,3200.0,1000.0,,4.6,,,43.0,3.8,65.0,1,31.0,391.0,,2259.0,,148.0,3731.0,295.0,,1182.0,,,
26.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,1.0,DDR4,,,,,,,,Desktop,,desktop,negro,gaming,12.0,,,,,,,,,,,,367.94,586.96,477.45,39.0,22.0,,8.0,,3200.0,1000.0,,4.2,,,44.0,3.7,,1,11.0,391.0,,2259.0,,,3731.0,327.0,9.0,165.0,813.0,,
