ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,grafica_caracteristica_tarjeta,tipo,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
3.0,Barebone,disco duro HDD,HDMI,Ethernet,,,,,DDR4,,,,Ethernet 10/100/1000,,,Desktop,cubo,negro,,,4.0,,,canal 5.1,,,,469.61,559.98,514.8,33.2,21.5,3.5,,,,,,,128.0,19.0,,125.0,1,,715.0,33.0,,,67.0,,,,398.0,,,135.0
8.0,Barebone,disco duro SSD,,"Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ac,,1.0,DDR5,,64.0,,LAN 10/100/1000/2500,,,Desktop,barebone,negro,bricolaje,,,,,,,,,671.9,954.04,812.97,13.0,12.0,1.0,,16.0,4800.0,512.0,,,,5.0,,,1,24.0,916.0,,63.0,,931.0,3731.0,947.0,,1182.0,,,
5.0,Barebone,disco duro SSD,,"Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ac,Intel,1.0,DDR5,,,,LAN 10/100/1000/2500,,,Desktop,barebone,negro,bricolaje,,,,,,,,,987.78,1238.63,1113.2,13.0,12.0,,,16.0,,512.0,,,,5.0,,,1,91.0,916.0,,,,931.0,,833.0,,398.0,,,
4.0,Barebone,disco duro SSD,DisplayPort,"Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ac,,1.0,DDR5,,,,LAN 10/100/1000/2500,,,Desktop,barebone,,bricolaje,,,,,,,,,467.65,596.86,532.25,13.0,12.0,,,8.0,,256.0,,,,5.0,,,1,10.0,715.0,,2259.0,,931.0,3731.0,,,398.0,,,
5.0,Barebone,disco duro SSD,,"Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ac,,1.0,DDR5,,,,LAN 10/100/1000/2500,,,Desktop,barebone,negro,bricolaje,,,,,,,,,714.73,997.0,855.87,13.0,12.0,,,8.0,,256.0,,,,5.0,,,1,20.0,916.0,,,,931.0,,947.0,,398.0,,,
2.0,Barebone,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,Desktop,nettop,negro,bricolaje,2.0,,,,,,,,415.14,456.45,435.79,11.5,11.5,0.7,4.0,4.0,3200.0,128.0,1.1,2.8,32.0,4.0,,6.0,1,37.0,715.0,,,74.0,931.0,3731.0,,,1182.0,51.0,,26.0
12.0,Barebone,,,"Ethernet, wifi, Bluetooth",,,,,,,,,,,,Desktop,barebone,negro,bricolaje,,,,,,,,,429.83,563.32,496.58,11.5,11.5,,,,,,,,,4.0,,,1,,,,,,931.0,,,,,,,
4.0,Barebone,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ac,Intel,,DDR5,,,ninguno,LAN 10/100/1000/2500,,,Desktop,barebone,negro,bricolaje,20.0,,,,,,,,760.22,846.62,803.42,13.0,12.0,,,,,,,5.0,,5.0,2.4,,1,91.0,916.0,,,,28.0,,,,398.0,163.0,,
3.0,Barebone,disco duro M.2 SSD,,"Ethernet, Bluetooth, wifi",,,Intel,,DDR5,,,,,,,Desktop,barebone,negro,bricolaje,24.0,,1.0,,,,,,1805.8,2054.36,1930.08,26.55,12.6,,30.0,,,,2.1,5.2,,24.0,2.1,219.0,1,105.0,358.0,22.0,,866.0,931.0,412.0,833.0,,398.0,337.0,34.0,749.0
4.0,Barebone,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,AMD,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,2 USB 2.0,,Desktop,barebone,negro,bricolaje,16.0,2.0,,,,,,,476.76,722.98,599.87,11.8,11.0,,8.0,,3200.0,,1.8,4.2,64.0,4.0,,15.0,1,4.0,391.0,,,19.0,931.0,3731.0,295.0,,398.0,589.0,,25.0
